Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
1,Jett Buck,23,40,184,156,37,50,11,0,7,38,6,1,13,43,.321,.397,.526,.922,82,1,10,0,5,1,,player.fcgi?id=buck--000jet
2,Max Buettenback*,21,24,73,58,10,11,2,0,2,8,0,0,8,24,.190,.329,.328,.656,19,1,5,0,2,0,,player.fcgi?id=buette000max
3,Dylan Carey,22,40,188,169,38,65,12,2,12,52,7,2,12,34,.385,.441,.692,1.134,117,4,6,0,1,1,,player.fcgi?id=carey-000dyl
4,Trey Fikes,21,14,26,22,5,6,2,0,0,3,0,0,1,5,.273,.360,.364,.724,8,0,2,1,0,0,,player.fcgi?id=fikes-000tre
5,Preston Freeman*,22,16,28,26,5,5,1,0,1,5,1,0,2,6,.192,.250,.346,.596,9,0,0,0,0,0,,player.fcgi?id=freema002pre
6,Drew Grego,19,34,126,110,23,36,7,1,7,33,2,3,9,28,.327,.405,.600,1.005,66,2,6,0,1,0,,player.fcgi?id=grego-000dre
7,Will Jesske,21,18,53,45,11,17,5,0,3,12,0,0,4,6,.378,.472,.689,1.161,31,0,4,0,0,0,,player.fcgi?id=jesske000wil
8,Carter Kelley,21,6,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,,player.fcgi?id=kelley005car
9,Cole Kitchens,22,24,77,71,4,16,5,0,1,17,0,0,4,17,.225,.273,.338,.611,24,1,1,0,1,0,,player.fcgi?id=kitche001col
10,Miken Miller*,22,15,52,48,7,12,0,1,0,5,0,0,1,9,.250,.255,.292,.547,14,1,0,1,2,0,,player.fcgi?id=miller017mik
11,Mac Moyer*,22,41,197,164,48,65,10,1,3,25,5,3,28,19,.396,.490,.524,1.014,86,2,3,1,1,1,,player.fcgi?id=moyer-000mcc
12,Nico Newhan,21,7,14,13,2,2,1,0,1,2,0,0,0,5,.154,.214,.462,.676,6,0,1,0,0,0,,player.fcgi?id=newhan000nic
13,Devin Nunez*,20,21,54,46,7,11,0,0,0,7,3,0,3,17,.239,.315,.239,.554,11,0,3,0,2,0,,player.fcgi?id=nunez-000dev
14,Josh Overbeek#,23,37,166,131,28,34,7,2,3,19,4,1,19,31,.260,.406,.412,.818,54,2,14,1,1,0,,player.fcgi?id=overbe000jos
15,Case Sanderson*,22,41,197,151,44,54,10,1,5,36,4,1,33,45,.358,.497,.536,1.034,81,1,11,0,2,0,,player.fcgi?id=sander000cas
16,Rhett Stokes,23,35,109,92,18,32,5,0,2,14,2,2,9,14,.348,.423,.467,.890,43,2,3,5,0,0,,player.fcgi?id=stokes000rhe
17,Reed Strohmeyer*,19,7,2,2,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,player.fcgi?id=strohm000ree
18,Jeter Worthley,19,37,165,127,29,36,10,1,0,12,4,1,15,26,.283,.424,.378,.802,48,2,16,7,0,0,,player.fcgi?id=worthl000jet
