Rk,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Nick Martinelli,Northwestern,F,33,33,1175,268,526,.510,45,108,.417,223,418,.533,.552,178,220,.809,74,130,204,66,26,12,47,77,759,,nick-martinelli-1
2,Bennett Stirtz,Iowa,G,37,37,1396,251,526,.477,92,257,.358,159,269,.591,.565,140,165,.848,10,88,98,163,51,9,68,72,734,,bennett-stirtz-1
3,Nick Boyd,Wisconsin,G,35,35,1117,252,525,.480,61,167,.365,191,358,.534,.538,161,194,.830,27,106,133,149,36,1,59,68,726,,nicholas-boyd-1
4,Bruce Thornton,Ohio St.,G,34,34,1241,237,428,.554,62,155,.400,175,273,.641,.626,141,170,.829,31,142,173,133,39,8,44,62,677,,bruce-thornton-1
5,Lamar Wilkerson,Indiana,G,32,32,1087,227,490,.463,104,275,.378,123,215,.572,.569,111,125,.888,13,99,112,77,31,6,51,74,669,,lamar-wilkerson-1
6,Keaton Wagler,Illinois,G,37,37,1255,202,454,.445,87,219,.397,115,235,.489,.541,172,216,.796,71,117,188,157,34,14,66,73,663,AA-2AP-AA-2NABC-AA-2SN-AA-2USBWA-AA-2W-AA,keaton-wagler-1
7,John Blackwell,Wisconsin,G,34,34,1148,198,461,.430,96,247,.389,102,214,.477,.534,158,184,.859,41,131,172,79,38,3,57,84,650,,john-blackwell-3
8,Pryce Sandfort,Nebraska,F,35,35,1175,217,453,.479,129,310,.416,88,143,.615,.621,71,83,.855,22,148,170,70,36,9,24,59,634,,pryce-sandfort-1
9,Cade Tyson,Minnesota,F,32,32,1175,191,382,.500,71,172,.413,120,210,.571,.593,175,213,.822,47,126,173,68,24,7,51,79,628,,cade-tyson-1
10,Yaxel Lendeborg,Michigan,F,40,39,1206,200,388,.515,67,180,.372,133,208,.639,.602,136,165,.824,75,196,271,129,45,49,42,68,603,AA-1AP-AA-1NABC-AA-1SN-AA-1USBWA-AA-1W-AA,yaxel-lendeborg-1
11,Tariq Francis,Rutgers,G,34,21,945,181,432,.419,52,148,.351,129,284,.454,.479,164,180,.911,11,67,78,99,35,1,40,80,578,,tariq-francis-1
12,Braden Smith,Purdue,G,39,39,1344,197,448,.440,64,177,.362,133,271,.491,.511,99,120,.825,25,113,138,345,66,8,113,62,557,AA-1AP-AA-2NABC-AA-1SN-AA-2USBWA-AA-1W-AA,braden-smith-1
13,Hannes Steinbach,Washington,F,30,30,1039,209,362,.577,18,53,.340,191,309,.618,.602,120,158,.759,126,227,353,47,32,37,59,71,556,,hannes-steinbach-1
14,Fletcher Loyer,Purdue,G,39,39,1143,166,369,.450,112,259,.432,54,110,.491,.602,104,119,.874,7,84,91,80,28,2,39,45,548,,fletcher-loyer-1
15,Tyler Bilodeau,UCLA,F,31,30,935,183,353,.518,64,138,.464,119,215,.553,.609,117,134,.873,35,139,174,33,15,11,40,79,547,,tyler-bilodeau-1
16,Jeremy Fears Jr.,Michigan St.,G,35,35,1135,157,364,.431,35,109,.321,122,255,.478,.479,184,208,.885,15,69,84,328,45,1,85,82,533,AP-AA-2NABC-AA-3SN-AA-3USBWA-AA-3W-AA,jeremy-fears-jr-1
17,Morez Johnson Jr.,Michigan,F,40,40,1004,195,313,.623,12,35,.343,183,278,.658,.642,122,156,.782,100,193,293,48,27,44,53,94,524,,morez-johnson-jr-1
18,Trey Kaufman-Renn,Purdue,F,37,37,1041,227,393,.578,2,13,.154,225,380,.592,.580,68,107,.636,106,202,308,94,14,8,52,84,524,,trey-kaufman-renn-1
19,Zoom Diallo,Washington,G,33,29,978,196,401,.489,23,73,.315,173,328,.527,.517,104,126,.825,30,100,130,147,22,0,84,88,519,,zoom-diallo-1
20,David Mirkovic,Illinois,F,37,36,1090,176,364,.484,57,152,.375,119,212,.561,.562,84,111,.757,92,205,297,95,16,14,70,74,493,,david-mirkovic-1
21,John Mobley Jr.,Ohio St.,G,31,31,981,155,359,.432,97,236,.411,58,123,.472,.567,79,91,.868,11,64,75,87,23,3,57,54,486,,john-mobley-jr-1
22,Aday Mara,Michigan,C,40,39,936,201,301,.668,3,10,.300,198,291,.680,.673,79,140,.564,76,194,270,97,14,103,79,88,484,,aday-mara-2
23,Chad Baker-Mazara,USC,G,26,22,770,150,338,.444,61,160,.381,89,178,.500,.534,119,133,.895,15,95,110,72,19,33,61,66,480,,chad-baker-mazara-1
